Date,Open,High,Low,Close,Volume
2025-05-13,85500.0,85500.0,85500.0,85500.0,4800.0
2025-05-14,91400.0,91400.0,91400.0,91400.0,2100100.0
2025-05-15,97700.0,97700.0,97700.0,97700.0,1815600.0
2025-05-16,104500.0,104500.0,93300.0,101000.0,1163300.0
2025-05-19,100000.0,101000.0,96400.0,98200.0,381300.0
2025-05-20,95100.0,102000.0,95100.0,99500.0,617200.0
2025-05-21,99700.0,101300.0,95700.0,98000.0,396300.0
2025-05-22,96500.0,96500.0,92000.0,92000.0,597200.0
2025-05-23,90500.0,92600.0,90300.0,90300.0,196400.0
2025-05-26,90300.0,90600.0,84000.0,90000.0,401600.0
2025-05-27,89800.0,89800.0,87200.0,87200.0,208100.0
2025-05-28,86600.0,90500.0,86500.0,88000.0,283300.0
2025-05-29,88000.0,90000.0,87600.0,88500.0,175500.0
2025-05-30,88400.0,89200.0,88000.0,89000.0,216300.0
2025-06-02,89000.0,89000.0,87000.0,87500.0,126000.0
2025-06-03,87500.0,88100.0,87000.0,87500.0,166300.0
2025-06-04,88000.0,88000.0,87100.0,88000.0,97700.0
2025-06-05,88000.0,88600.0,87500.0,88200.0,105700.0
2025-06-06,88200.0,88300.0,87500.0,88200.0,104600.0
2025-06-09,87600.0,88400.0,87500.0,88200.0,134600.0
2025-06-10,88400.0,88400.0,87400.0,88200.0,99300.0
2025-06-11,88200.0,88200.0,88000.0,88200.0,61200.0
2025-06-12,86000.0,88200.0,86000.0,88200.0,101700.0
2025-06-13,87000.0,88200.0,87000.0,88200.0,177800.0
2025-06-16,88100.0,94300.0,87800.0,94000.0,287600.0
2025-06-17,94100.0,96000.0,93900.0,95400.0,125700.0
2025-06-18,95900.0,95900.0,94200.0,94300.0,92300.0
2025-06-19,90000.0,95300.0,90000.0,94200.0,47500.0
2025-06-20,93100.0,94200.0,93100.0,93500.0,73900.0
2025-06-23,93300.0,94500.0,91300.0,94500.0,34700.0
2025-06-24,94500.0,95000.0,93400.0,94600.0,46300.0
2025-06-25,94100.0,94900.0,94000.0,94600.0,23300.0
2025-06-26,94000.0,94600.0,93700.0,94600.0,36900.0
2025-06-27,92600.0,94600.0,92500.0,94600.0,37900.0
2025-06-30,94600.0,94600.0,94000.0,94600.0,31900.0
2025-07-01,94600.0,94600.0,93600.0,94600.0,36400.0
2025-07-02,94600.0,94600.0,93300.0,94600.0,31700.0
2025-07-03,93500.0,94100.0,93500.0,94100.0,64700.0
2025-07-04,94000.0,94100.0,93200.0,94100.0,22900.0
2025-07-07,94100.0,94100.0,93500.0,94100.0,23700.0
2025-07-08,93800.0,94100.0,93400.0,94100.0,22500.0
2025-07-09,94100.0,94100.0,93700.0,94100.0,46800.0
2025-07-10,94100.0,97000.0,93500.0,93700.0,243900.0
2025-07-11,94500.0,94500.0,92300.0,92300.0,359600.0
2025-07-14,93700.0,93700.0,92300.0,92400.0,329000.0
2025-07-15,93500.0,93500.0,91500.0,92000.0,399100.0
2025-07-16,90400.0,91600.0,90400.0,91300.0,418800.0
2025-07-17,91400.0,91500.0,88800.0,90300.0,510200.0
2025-07-18,90600.0,91200.0,89800.0,90100.0,339600.0
2025-07-21,90200.0,90300.0,88900.0,88900.0,378700.0
2025-07-22,88400.0,88800.0,88000.0,88400.0,405300.0
2025-07-23,88400.0,88500.0,87900.0,88200.0,435300.0
2025-07-24,88200.0,88200.0,87200.0,88000.0,410100.0
2025-07-25,88000.0,88200.0,87400.0,87600.0,406000.0
2025-07-28,88000.0,88400.0,87500.0,87900.0,398700.0
2025-07-29,88000.0,88000.0,86000.0,86000.0,531100.0
2025-07-30,86000.0,86100.0,85000.0,85300.0,376000.0
2025-07-31,84400.0,84400.0,80100.0,82700.0,260300.0
2025-08-01,82200.0,83000.0,81900.0,81900.0,229600.0
2025-08-04,82500.0,86300.0,82500.0,85000.0,243500.0
2025-08-05,86200.0,86200.0,83800.0,84000.0,439400.0
2025-08-06,85400.0,85400.0,83800.0,84900.0,394200.0
2025-08-07,84900.0,84900.0,84000.0,84900.0,383500.0
2025-08-08,84900.0,84900.0,84000.0,84000.0,359300.0
2025-08-11,84800.0,84800.0,83500.0,84000.0,395000.0
2025-08-12,83500.0,84000.0,82900.0,84000.0,473200.0
2025-08-13,84200.0,84200.0,83000.0,83300.0,208700.0
2025-08-14,83300.0,83300.0,82500.0,82800.0,234300.0
2025-08-15,83000.0,83000.0,82300.0,82900.0,259900.0
2025-08-18,82800.0,82800.0,81600.0,81600.0,30000.0
2025-08-19,82700.0,82700.0,81500.0,81500.0,213800.0
2025-08-20,81300.0,81500.0,78000.0,81500.0,317300.0
2025-08-21,81400.0,81400.0,80000.0,80900.0,75200.0
2025-08-22,80900.0,80900.0,78900.0,80800.0,328400.0
2025-08-25,80100.0,80800.0,78900.0,80800.0,338900.0
2025-08-26,80600.0,80600.0,79900.0,80200.0,227000.0
2025-08-27,80000.0,80200.0,79500.0,80200.0,334900.0
2025-08-28,79700.0,80300.0,79700.0,80200.0,326700.0
2025-08-29,80200.0,80200.0,79700.0,80200.0,342200.0
2025-09-03,80300.0,80300.0,79700.0,80200.0,378400.0
2025-09-04,80200.0,80200.0,79700.0,80100.0,359200.0
2025-09-05,80100.0,80900.0,80100.0,80400.0,377700.0
2025-09-08,80500.0,80500.0,79400.0,80300.0,374400.0
2025-09-09,79600.0,80300.0,79100.0,80300.0,461800.0
2025-09-10,80100.0,80300.0,79700.0,80300.0,361500.0
2025-09-11,80500.0,80500.0,79500.0,80300.0,439500.0
2025-09-12,80500.0,80500.0,79800.0,80300.0,374500.0
2025-09-15,80300.0,80400.0,79600.0,80300.0,499400.0
2025-09-16,80300.0,80300.0,79600.0,80200.0,400800.0
2025-09-17,80100.0,80300.0,79700.0,80300.0,497000.0
2025-09-18,80200.0,80200.0,79900.0,80000.0,439400.0
2025-09-19,80000.0,80000.0,79600.0,80000.0,444000.0
2025-09-22,80000.0,80200.0,79200.0,80200.0,524000.0
2025-09-23,80000.0,80200.0,79400.0,80200.0,370600.0
2025-09-24,79900.0,80100.0,79500.0,80100.0,435500.0
2025-09-25,80000.0,80100.0,79500.0,80100.0,376100.0
2025-09-26,80000.0,80200.0,79800.0,80200.0,425000.0
2025-09-29,80100.0,80100.0,79600.0,80000.0,616200.0
2025-09-30,80000.0,80200.0,79800.0,80200.0,427700.0
2025-10-01,79800.0,80200.0,79800.0,80200.0,538900.0
2025-10-02,80200.0,80300.0,79700.0,80300.0,438700.0
2025-10-03,80300.0,80300.0,79800.0,80000.0,557600.0
2025-10-06,80200.0,83000.0,80000.0,81000.0,1099100.0
2025-10-07,81500.0,86600.0,81200.0,86600.0,2485400.0
2025-10-08,88900.0,88900.0,85700.0,86600.0,660000.0
2025-10-09,86800.0,92200.0,86100.0,87200.0,1278800.0
