Date,Open,High,Low,Close,Volume
2020-01-02,51060.0,51110.0,50660.0,51110.0,440280
2020-01-03,51110.0,51240.0,50790.0,51240.0,248940
2020-01-06,51110.0,51110.0,50840.0,50880.0,301910
2020-01-07,50880.0,51110.0,50790.0,50970.0,183910
2020-01-08,50880.0,50970.0,50480.0,50790.0,468910
2020-01-09,50790.0,51150.0,50750.0,50970.0,273870
2020-01-10,51110.0,51110.0,50970.0,51020.0,159120
2020-01-13,50970.0,51150.0,50880.0,51060.0,146680
2020-01-14,51060.0,51150.0,50790.0,51110.0,101150
2020-01-15,51110.0,51110.0,50790.0,51110.0,205600
2020-01-16,51110.0,51150.0,50790.0,51110.0,186740
2020-01-17,51060.0,51150.0,50840.0,51060.0,169100
2020-01-20,51060.0,51060.0,50790.0,51060.0,370670
2020-01-21,50790.0,51110.0,50790.0,51060.0,181510
2020-01-22,51060.0,51060.0,50750.0,51060.0,371780
2020-01-30,50710.0,51060.0,49820.0,51060.0,682720
2020-01-31,51060.0,51060.0,50480.0,51020.0,831740
2020-02-03,50570.0,51020.0,49910.0,51020.0,760420
2020-02-04,50480.0,51020.0,49680.0,51020.0,1485500
2020-02-05,51020.0,51020.0,50220.0,50880.0,468420
2020-02-06,50840.0,50970.0,50130.0,50840.0,676290
2020-02-07,50660.0,50840.0,49770.0,50840.0,1295520
2020-02-10,50220.0,50710.0,50220.0,50530.0,192700
2020-02-11,50440.0,50750.0,50220.0,50390.0,290630
2020-02-12,50390.0,50390.0,49770.0,49770.0,452790
2020-02-13,49550.0,50080.0,49510.0,49950.0,285340
2020-02-14,49910.0,50040.0,48880.0,48880.0,252390
2020-02-17,48880.0,48880.0,46660.0,47990.0,742220
2020-02-18,47550.0,47550.0,46220.0,46440.0,791870
2020-02-19,45990.0,47550.0,45990.0,46660.0,875320
2020-02-20,47110.0,48880.0,46660.0,48880.0,353570
2020-02-21,48260.0,48880.0,47910.0,48840.0,309060
2020-02-24,47590.0,47990.0,46880.0,47680.0,1428650
2020-02-25,47420.0,47680.0,47060.0,47550.0,543820
2020-02-26,46220.0,47370.0,46220.0,47060.0,625410
2020-02-27,47020.0,47110.0,46260.0,46930.0,740420
2020-02-28,46660.0,46840.0,45770.0,46840.0,870840
2020-03-02,46220.0,46840.0,45640.0,46840.0,742130
2020-03-03,46710.0,46930.0,46440.0,46880.0,557950
2020-03-04,46480.0,46880.0,45990.0,46880.0,443810
2020-03-05,46710.0,47060.0,46130.0,46930.0,352300
2020-03-06,46660.0,46660.0,45820.0,46660.0,750830
2020-03-09,45110.0,45330.0,43420.0,43420.0,966890
2020-03-10,41330.0,44080.0,40530.0,43420.0,825490
2020-03-11,43550.0,43550.0,40480.0,43110.0,1049580
2020-03-12,40440.0,41020.0,40130.0,40800.0,1896270
